#th(º)				ph(º)			Eth(V/m)		Eth(º)		Eph(V/m)		Eph(º)
-1.780000000000000000e+02 9.000000000000000000e+00 9.050967386562440143e-07 -9.268328599999999540e+01 1.504440443713612774e-06 1.688008000000000095e+02
-1.780000000000000000e+02 1.200000000000000000e+01 9.148365343526398057e-07 -8.830901199999999562e+01 1.494481350889341131e-06 1.704201999999999941e+02
-1.780000000000000000e+02 1.500000000000000000e+01 9.278366000818029780e-07 -8.406037700000000257e+01 1.482345707154081937e-06 1.720568000000000097e+02
-1.780000000000000000e+02 1.800000000000000000e+01 9.438250505610606403e-07 -7.996073199999999304e+01 1.468086009618502122e-06 1.737173999999999978e+02
-1.780000000000000000e+02 2.100000000000000000e+01 9.625160940558972241e-07 -7.602813799999999844e+01 1.451752223933921193e-06 1.754089500000000044e+02
-1.780000000000000000e+02 2.400000000000000000e+01 9.835354092265088923e-07 -7.227344100000000537e+01 1.433395378831097584e-06 1.771393600000000106e+02
-1.780000000000000000e+02 2.700000000000000000e+01 1.006556134469088898e-06 -6.870204900000000237e+01 1.413100337114309557e-06 1.789174399999999991e+02
-1.780000000000000000e+02 3.000000000000000000e+01 1.031187167863101061e-06 -6.531500900000000343e+01 1.390973960725825589e-06 -1.792479399999999998e+02
-1.780000000000000000e+02 3.300000000000000000e+01 1.057086435477243810e-06 -6.210973299999999853e+01 1.367125865292827253e-06 -1.773472399999999993e+02
-1.780000000000000000e+02 3.600000000000000000e+01 1.083858280760455354e-06 -5.907995700000000028e+01 1.341677077702409449e-06 -1.753693900000000099e+02
-1.780000000000000000e+02 3.900000000000000000e+01 1.111177656378496562e-06 -5.621750800000000226e+01 1.314800922129182110e-06 -1.733037500000000080e+02
-1.780000000000000000e+02 4.200000000000000000e+01 1.138689982477084824e-06 -5.351112799999999936e+01 1.286668000006059744e-06 -1.711378400000000113e+02
-1.780000000000000000e+02 4.500000000000000000e+01 1.166077726826521654e-06 -5.095146199999999936e+01 1.257488436210835405e-06 -1.688581100000000106e+02
-1.780000000000000000e+02 4.800000000000000000e+01 1.193050975029976915e-06 -4.852546399999999949e+01 1.227502824179428234e-06 -1.664516000000000133e+02
